SETID,ZIP_FILE_NAME,UPLOAD_DATE,SPL_VERSION,TITLE
a5aac064-adf3-e1a7-e053-2a95a90a93be,20200522_a5aac064-adf3-e1a7-e053-2a95a90a93be.zip,05/22/2020,1,"(QIQING) CHLORHEXIDINE GLUCONATE ALCOHOL DISINFECTANT (ALCOHOL) LIQUID [QINGDAO PRECISION MEDICAL TECHNOLOGY CO., LTD. ZIBO BRANCH]"
a894146e-e484-9dd8-e053-2995a90a1169,20200622_a894146e-e484-9dd8-e053-2995a90a1169.zip,06/22/2020,1,"(QIQING) SKIN DISINFECTANT (BENZETHONIUM CHLORIDE) LIQUID [QINGDAO PRECISION MEDICAL TECHNOLOGY CO.,LTD. ZIBO BRANCH]"
a8950eb2-a2aa-50a6-e053-2995a90a25e5,20200622_a8950eb2-a2aa-50a6-e053-2995a90a25e5.zip,06/22/2020,1,"(QIQING) SODIUM HYPOCHLORITE DISINFECTANT (SODIUM HYPOCHLORITE) LIQUID [QINGDAO PRECISION MEDICAL TECHNOLOGY CO., LTD. ZIBO BRANCH]"
af4cb85b-1275-2105-e053-2995a90a7e74,20221019_af4cb85b-1275-2105-e053-2995a90a7e74.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER DEEP BROAD SPECTRUM SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
aed5a7ef-5cf2-6738-e053-2a95a90aa7f7,20221019_aed5a7ef-5cf2-6738-e053-2a95a90aa7f7.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER LIGHT BROAD SPECTRUM SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
af4b0f17-43ec-a176-e053-2a95a90a7ac6,20221019_af4b0f17-43ec-a176-e053-2a95a90a7ac6.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER MEDIUM BROAD SPECTRUM SUNSCREEN SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
af5c9801-26ce-5c60-e053-2995a90ab457,20221019_af5c9801-26ce-5c60-e053-2995a90ab457.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER TRANSLUCENT BROAD SPECTRUM SUNSCREEN SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
d4d8f28d-cb00-298d-e053-2995a90a10eb,20221014_d4d8f28d-cb00-298d-e053-2995a90a10eb.zip,10/14/2022,2,"(RE)SETTING REFRESHING MIST SPF 40 (AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE) SPRAY [SUPERGOOP, LLC]"
c38ce5e9-5b1c-4ec8-bf85-12199a84f5a5,20110607_c38ce5e9-5b1c-4ec8-bf85-12199a84f5a5.zip,06/07/2011,4,"(REGIONAL ANESTHESIA KIT) KIT [SMITHS MEDICAL ASD, INC.]"
dca478a0-c319-68d8-e053-2a95a90a10fc,20220415_dca478a0-c319-68d8-e053-2a95a90a10fc.zip,04/15/2022,1,(S)UNDERCOVER SPF 50 (ZINC OXIDE) LOTION [TUBBY TODD]
c59db022-bda8-1732-e053-2a95a90a24f8,20210627_c59db022-bda8-1732-e053-2a95a90a24f8.zip,06/28/2021,1,"(SOTRADECOL) SODIUM TETRADECYL SULFATE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
14499781-b90e-47d5-a7de-006965439b94,20210916_14499781-b90e-47d5-a7de-006965439b94.zip,09/16/2021,6,".INSULIN ASPART PROTAMINE AND INSULIN ASPART (INSULIN ASPART) INJECTION, SUSPENSION [A-S MEDICATION SOLUTIONS]"
16e08382-efa4-45e0-9651-7889a281b326,20211113_16e08382-efa4-45e0-9651-7889a281b326.zip,11/15/2021,2,"0.1% KETOCONAZOLE, 0.15% SALICYLIC ACID (EAR RINSE) SOLUTION, GEL FORMING / DROPS [SERGEANT'S PET CARE PRODUCTS LLC]"
